
2023/06/26 (11:02:56) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/06/26 (11:04:34) | ===> btop++ v.1.2.13
2023/06/26 (11:04:34) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/06/26 (11:12:37) | ===> btop++ v.1.2.13
2023/06/26 (11:12:37) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/06/26 (11:13:34) | ===> btop++ v.1.2.13
2023/06/26 (11:13:34) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/06/26 (11:15:06) | ===> btop++ v.1.2.13
2023/06/26 (11:15:06) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/07/12 (22:38:14) | ===> btop++ v.1.2.13
2023/07/12 (22:38:14) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/07/27 (14:11:50) | ===> btop++ v.1.2.13
2023/07/27 (14:11:50) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/08/03 (10:34:35) | ===> btop++ v.1.2.13
2023/08/03 (10:34:35) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/08/03 (16:10:00) | ===> btop++ v.1.2.13
2023/08/03 (16:10:00) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/08/07 (10:24:02) | ===> btop++ v.1.2.13
2023/08/07 (10:24:02) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/08/10 (23:29:28) | ===> btop++ v.1.2.13
2023/08/10 (23:29:28) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/08/10 (23:32:13) | ===> btop++ v.1.2.13
2023/08/10 (23:32:13) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/08/10 (23:34:03) | ===> btop++ v.1.2.13
2023/08/10 (23:34:03) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/08/10 (23:40:44) | ===> btop++ v.1.2.13
2023/08/10 (23:40:44) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/08/10 (23:42:18) | ===> btop++ v.1.2.13
